Time resolution is 1 ps
t=0 | rx=1 | dout=xxxxxxxx | rx_done_tick=0
t=10000 | rx=1 | dout=00000000 | rx_done_tick=0
t=520000 | rx=0 | dout=00000000 | rx_done_tick=0
t=51561000 | rx=1 | dout=00000000 | rx_done_tick=0
t=78250000 | rx=1 | dout=10000000 | rx_done_tick=0
t=102602000 | rx=0 | dout=10000000 | rx_done_tick=0
t=130410000 | rx=0 | dout=01000000 | rx_done_tick=0
t=153643000 | rx=1 | dout=01000000 | rx_done_tick=0
t=182570000 | rx=1 | dout=10100000 | rx_done_tick=0
t=204684000 | rx=0 | dout=10100000 | rx_done_tick=0
t=234730000 | rx=0 | dout=01010000 | rx_done_tick=0
t=255725000 | rx=1 | dout=01010000 | rx_done_tick=0
t=286890000 | rx=1 | dout=10101000 | rx_done_tick=0
t=306766000 | rx=0 | dout=10101000 | rx_done_tick=0
t=339050000 | rx=0 | dout=01010100 | rx_done_tick=0
t=391210000 | rx=0 | dout=00101010 | rx_done_tick=0
t=408848000 | rx=1 | dout=00101010 | rx_done_tick=0
t=443370000 | rx=1 | dout=10010101 | rx_done_tick=0
t=495510000 | rx=1 | dout=10010101 | rx_done_tick=1
t=495530000 | rx=1 | dout=10010101 | rx_done_tick=0
t=560930000 | rx=0 | dout=10010101 | rx_done_tick=0
t=611971000 | rx=1 | dout=10010101 | rx_done_tick=0
t=638970000 | rx=1 | dout=11001010 | rx_done_tick=0
t=663012000 | rx=0 | dout=11001010 | rx_done_tick=0
t=691130000 | rx=0 | dout=01100101 | rx_done_tick=0
t=714053000 | rx=1 | dout=01100101 | rx_done_tick=0
t=743290000 | rx=1 | dout=10110010 | rx_done_tick=0
t=795450000 | rx=1 | dout=11011001 | rx_done_tick=0
t=847610000 | rx=1 | dout=11101100 | rx_done_tick=0
t=899770000 | rx=1 | dout=11110110 | rx_done_tick=0
t=918217000 | rx=0 | dout=11110110 | rx_done_tick=0
t=951930000 | rx=0 | dout=01111011 | rx_done_tick=0
t=969258000 | rx=1 | dout=01111011 | rx_done_tick=0
t=1004090000 | rx=1 | dout=10111101 | rx_done_tick=0
t=1056230000 | rx=1 | dout=10111101 | rx_done_tick=1
t=1056250000 | rx=1 | dout=10111101 | rx_done_tick=0
$finish called at time : 1072840 ns : File "C:/Users/ignac/Downloads/tp2_uart/uart_tp2.srcs/sim_1/new/uart_rx_tb.v" Line 79
